,name,position,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
00-0019596,Tom Brady,QB,NE,10.68,30.78,35.72,20.48,12.62,16.18,18.46,17.52,,22.64,25.56,20.68,8.32,9.32,15.72,15.56
00-0020531,Drew Brees,QB,NO,15.64,22.24,20.8,19.02,,11.54,19.14,11.76,18.72,13.96,21.6,14.34,14.46,17.04,17.3,11.16
00-0021206,Josh McCown,QB,NYJ,9.48,15.74,14.66,4.96,13.46,20.26,24.46,18.28,16.9,12.48,,25.08,31.14,-1.46,,
00-0022787,Matt Schaub,QB,ATL,,,,,,,,,,,,,,,,
00-0022803,Eli Manning,QB,NYG,6.7,11.56,22.64,27.72,13.0,9.12,7.36,,12.8,16.92,8.7,2.42,,9.12,27.36,5.02
00-0022921,Larry Fitzgerald,WR,ARI,13.4,5.1,33.9,13.2,11.1,27.8,5.9,,12.0,21.3,24.1,6.2,25.8,9.4,11.0,27.74
00-0022924,Ben Roethlisberger,QB,PIT,15.72,17.52,12.0,10.54,2.58,11.88,16.66,14.48,,17.94,28.96,30.54,18.0,28.74,18.24,16.94
00-0022942,Philip Rivers,QB,SD,17.68,17.24,3.48,19.88,20.82,14.32,15.32,10.48,,15.3,18.04,28.86,17.56,20.76,7.08,15.6
00-0022943,Benjamin Watson,TE,NO,,17.1,10.2,9.3,2.2,8.8,8.8,8.6,11.1,,4.3,5.9,11.4,,17.4,9.0
00-0023436,Alex Smith,QB,WAS,31.02,16.14,15.1,27.32,26.86,15.14,25.68,13.38,18.42,,7.9,13.46,37.64,11.12,18.54,17.46
00-0023459,Aaron Rodgers,QB,GB,16.54,18.52,24.82,23.06,24.04,0.72,,,,,,,,,21.9,
00-0023500,Frank Gore,RB,MIA,6.2,10.6,12.7,11.0,11.6,8.7,3.4,14.1,10.7,7.1,,15.9,6.1,15.0,9.8,16.6
00-0023564,Darren Sproles,RB,PHI,9.5,7.8,1.1,,,,,,,,,,,,,
00-0023662,Matt Cassel,QB,DET,,,,-5.16,7.64,,,,,,,,,,,
00-0023682,Ryan Fitzpatrick,QB,TB,,-0.2,,,,20.6,,,9.72,10.38,19.9,13.32,,,,
00-0024221,Vernon Davis,TE,WAS,,2.3,16.8,10.9,,7.5,10.7,4.0,13.2,14.6,9.7,,3.5,10.6,1.8,12.2
00-0024243,Marcedes Lewis,TE,GB,,,28.2,,2.4,,10.9,,7.9,4.9,10.6,2.0,10.6,,3.8,3.2
00-0024334,Brandon Marshall,WR,SEA,2.0,2.7,14.6,10.6,3.5,,,,,,,,,,,
00-0024389,Delanie Walker,TE,TEN,14.6,16.2,7.1,8.1,5.5,5.4,11.3,,12.1,12.3,15.2,16.3,17.3,9.2,12.7,6.3
00-0025396,Ted Ginn,WR,NO,9.8,5.4,13.9,5.4,,16.9,21.1,8.8,15.9,1.3,13.5,14.1,5.3,2.7,,19.0
00-0025399,Marshawn Lynch,RB,OAK,10.2,11.9,3.6,1.2,12.3,6.3,0.9,,20.3,,8.7,20.1,20.1,13.4,12.2,9.2
00-0025418,Greg Olsen,TE,CAR,3.8,2.0,,,,,,,,,,2.0,,,26.6,5.7
00-0025430,Drew Stanton,QB,CLE,,,,,,,0.88,,14.24,15.02,,,,,,12.46
00-0026035,Danny Amendola,WR,MIA,16.0,,7.8,16.2,15.7,7.0,4.7,3.4,,7.6,20.6,2.5,5.4,13.6,4.3,5.8
00-0026143,Matt Ryan,QB,ATL,17.94,14.88,13.66,8.48,,11.92,17.02,15.86,18.42,14.6,17.0,16.78,7.02,6.84,15.38,14.22
00-0026153,Jonathan Stewart,RB,NYG,16.2,4.0,7.1,4.8,7.4,-0.4,4.8,9.4,-1.9,11.0,,8.6,10.5,28.3,4.6,2.8
00-0026158,Joe Flacco,QB,BAL,6.84,14.58,-2.88,9.4,8.48,5.4,11.44,8.94,15.14,,9.22,9.84,18.66,16.76,21.82,17.28
00-0026176,Jordy Nelson,WR,OAK,20.9,,23.2,23.5,10.4,12.0,2.3,,7.5,5.0,4.4,4.1,6.7,7.3,5.8,4.1
00-0026189,DeSean Jackson,WR,TB,,6.9,18.4,4.0,15.6,12.8,12.3,6.7,5.3,14.2,10.8,14.0,4.4,10.4,2.8,
00-0026197,Chad Henne,QB,KC,,,-0.3,,,,,,,,,,,,-0.2,
00-0026293,Matthew Slater,WR,NE,,,,,,,,,,,,,,,,
00-0026345,Pierre Garcon,WR,SF,14.1,5.6,21.2,7.6,17.4,10.5,9.9,3.7,,,,,,,,
00-0026498,Matthew Stafford,QB,DET,27.08,13.18,16.46,10.06,15.16,14.88,,18.02,22.44,21.66,18.26,14.0,11.88,15.24,17.38,10.82
00-0026544,Chase Daniel,QB,CHI,,,,,,,,,,-0.2,,,,,,
